level_0,index,Year,Christianity_pop,Judaism_pop,Islam_pop,Buddhism_pop,Zoroastrian_pop,Hindu_pop,Sike_pop,Shinto_pop,Baha'i_pop,Taoism_pop,Confucianism_pop,Jain_pop,Syncretic Religions_pop,Animist_pop,Non Religious_pop,Other Religions_pop,Total Religious_pop,Population_pop,Christianity _pct,Judaism _pct,Islam _pct,Buddhism _pct,Zoroastrian _pct,Hindu _pct,Sike _pct,Shinto _pct,Baha'i _pct,Taoism _pct,Confucianism _pct,Jain _pct,Syncretic Religions _pct,Animist _pct,Non Religious _pct,Other Religions _pct,Total Religious _pct,Country,Region,SubRegion
51,169,1995,135978,0,352,0,0,1293,0,0,332,0,0,0,0,0,1873,5172,139828,145000,0.9378,0.0,0.0024,0.0,0.0,0.0089,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0129,0.0357,0.9643,Saint Lucia,Latin America and the Caribbean,Caribbean
52,170,2000,141130,0,705,0,0,1386,0,0,364,0,0,0,0,0,3547,6868,147132,154000,0.9164,0.0,0.0046,0.0,0.0,0.009,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.023,0.0446,0.9554,Saint Lucia,Latin America and the Caribbean,Caribbean
53,171,2005,146156,0,434,0,0,939,0,0,182,0,0,0,0,0,6611,10678,154322,165000,0.8858,0.0,0.0026,0.0,0.0,0.0057,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0401,0.0647,0.9353,Saint Lucia,Latin America and the Caribbean,Caribbean
54,172,2010,151183,0,164,0,0,492,0,0,0,0,0,0,0,0,9676,2485,161515,164000,0.9218,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0152,0.9848,Saint Lucia,Latin America and the Caribbean,Caribbean
55,175,1990,91423,0,1500,0,0,3450,0,0,1200,0,0,0,1580,0,1470,5377,100623,106000,0.8625,0.0,0.0142,0.0,0.0,0.0325,0.0,0.0,0.0113,0.0,0.0,0.0,0.0149,0.0,0.0139,0.0507,0.9493,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean
56,176,1995,96441,0,750,0,0,3640,0,0,1449,0,0,0,790,114,1951,5865,105135,111000,0.8688,0.0,0.0068,0.0,0.0,0.0328,0.0,0.0,0.0131,0.0,0.0,0.0,0.0071,0.001,0.0176,0.0528,0.9472,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean
57,177,2000,98157,0,798,0,0,912,0,0,228,0,0,0,0,228,11499,2178,111822,114000,0.861,0.0,0.007,0.0,0.0,0.008,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.002,0.1009,0.0191,0.9809,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean
58,178,2005,95826,0,451,0,0,612,0,0,201,0,0,0,0,114,6737,59,103941,104000,0.9214,0.0,0.0043,0.0,0.0,0.0059,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0011,0.0648,0.0006,0.9994,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean
59,179,2010,93496,0,104,0,0,312,0,0,175,0,0,0,0,0,1976,7937,96063,104000,0.899,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.019,0.0763,0.9237,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean
60,182,1990,47650,0,300,0,0,50,0,0,500,0,0,0,0,2000,1946,6909,52446,59355,0.8028,0.0,0.0051,0.0,0.0,0.0008,0.0,0.0,0.0084,0.0,0.0,0.0,0.0,0.0337,0.0328,0.1164,0.8836,Antigua and Barbuda,Latin America and the Caribbean,Caribbean
61,183,1995,52032,0,287,0,0,52,0,0,564,0,0,0,1111,1000,2831,3732,57877,61609,0.8446,0.0,0.0047,0.0,0.0,0.0008,0.0,0.0,0.0092,0.0,0.0,0.0,0.018,0.0162,0.046,0.0606,0.9394,Antigua and Barbuda,Latin America and the Caribbean,Caribbean
62,184,2000,56415,0,274,0,0,54,0,0,629,0,0,0,2223,0,3716,552,63311,63863,0.8834,0.0,0.0043,0.0,0.0,0.0008,0.0,0.0,0.0098,0.0,0.0,0.0,0.0348,0.0,0.0582,0.0086,0.9914,Antigua and Barbuda,Latin America and the Caribbean,Caribbean
