,year,country,gdp,un_region,hdi,conflict_present,religion,relig_pop,prop_relig
1960,1995,Colombia,92507279383.0387,Southern America,0.0,1.0,Islam,0,0.0
1961,2000,Colombia,99875074951.0278,Southern America,0.672,1.0,Islam,32248,0.0008053011027765532
1962,2005,Colombia,145600529605.803,Southern America,0.0,1.0,Islam,25700,0.0006170661381571227
1963,2010,Colombia,286498534094.963,Southern America,0.732,1.0,Islam,27740,0.0006170450898470147
2172,1990,Russian Federation,517014446227.929,Europe,0.741,1.0,Islam,28541901,0.28396483742613426
2173,1995,Russian Federation,395537185734.854,Europe,0.0,1.0,Islam,14777400,0.3049857158810826
2174,2000,Russian Federation,259710142196.943,Europe,0.733,1.0,Islam,20570760,0.1594943436106647
2175,2005,Russian Federation,764015973481.11,Europe,0.0,1.0,Islam,20035960,0.1594943423814473
2176,2010,Russian Federation,1524916715223.95,Europe,0.797,1.0,Islam,16482000,0.134685961074793
2264,1990,Senegal,7390967360.42121,Africa,0.371,1.0,Islam,6407000,0.9411222078107121
2265,1995,Senegal,6326342633.4034,Africa,0.0,1.0,Islam,7328829,0.946651843321008
2266,2000,Senegal,6013185003.97525,Africa,0.388,1.0,Islam,8852140,0.9589433157768164
2267,2005,Senegal,11009033437.939,Africa,0.0,0.0,Islam,10159120,0.9589196645491521
2268,2010,Senegal,16121315909.0758,Africa,0.47,0.0,Islam,11346069,0.9640602954615264
2299,1990,Liberia,384400000.0,Africa,0.434,1.0,Islam,433260,0.3333333333333333
2300,1995,Liberia,134800000.0,Africa,0.0,1.0,Islam,441600,0.3065815051374618
2301,2000,Liberia,874000000.0,Africa,0.434,1.0,Islam,630800,0.33898359734251476
2302,2005,Liberia,949000000.0,Africa,0.0,0.0,Islam,466760,0.1698501129883882
2303,2010,Liberia,1998000000.0,Africa,0.46,0.0,Islam,468918,0.11690339797135889
2339,1990,Chad,1738605557.76313,Africa,0.292,1.0,Islam,2672890,0.5964206150012317
2340,1995,Chad,1445919894.57661,Africa,0.0,0.0,Islam,3167500,0.6182212793032983
2341,2000,Chad,1388506771.58756,Africa,0.292,1.0,Islam,4124505,0.6444621634214689
2342,2005,Chad,8655892392.92919,Africa,0.0,1.0,Islam,5530260,0.6257314235806832
2343,2010,Chad,14058506663.7252,Africa,0.364,1.0,Islam,6347232,0.618730682431976
2349,1990,Democratic Republic Of The Congo,9349764580.41173,Africa,0.377,0.0,Islam,435000,0.012868276769121816
2350,1995,Democratic Republic Of The Congo,5643439376.10491,Africa,0.0,0.0,Islam,454530,0.010406683997479025
2351,2000,Democratic Republic Of The Congo,19088046305.7971,Africa,0.376,1.0,Islam,671502,0.014058982059033647
2352,2005,Democratic Republic Of The Congo,12609728573.1032,Africa,0.0,1.0,Islam,886155,0.016041636224266728
2353,2010,Democratic Republic Of The Congo,24161641931.0331,Africa,0.424,1.0,Islam,882247,0.013761737214612421
2354,1990,Uganda,4304399310.30967,Africa,0.329,1.0,Islam,1843204,0.11863929927271152
2355,1995,Uganda,5755818842.49246,Africa,0.0,1.0,Islam,2156905,0.12096229208795496
2356,2000,Uganda,6193246837.09687,Africa,0.392,1.0,Islam,2634881,0.1277119289782972
2357,2005,Uganda,9239221763.05793,Africa,0.0,1.0,Islam,3117551,0.1269780866493249
2358,2010,Uganda,26673441430.7857,Africa,0.5,0.0,Islam,3734278,0.12512239067700515
2369,1990,Burundi,1132101252.51817,Africa,0.285,0.0,Islam,105893,0.021169738347527726
2370,1995,Burundi,1000428393.88528,Africa,0.0,1.0,Islam,59820,0.010897590160616488
2371,2000,Burundi,870486065.883137,Africa,0.298,1.0,Islam,234324,0.039961485371296776
2372,2005,Burundi,1117113079.73645,Africa,0.0,1.0,Islam,224601,0.03272343112535175
2373,2010,Burundi,2032135192.01248,Africa,0.404,0.0,Islam,214879,0.02732617916865105
2379,1990,Somalia,1031282081.16683,Africa,0.38,1.0,Islam,8573000,0.9989795795895875
2380,1995,Somalia,1534756134.55022,Africa,0.0,1.0,Islam,9401000,0.998900900870269
2381,2000,Somalia,3412797450.20112,Africa,0.38,0.0,Islam,10046515,0.9988138326735562
2382,2005,Somalia,4683246454.10048,Africa,0.0,1.0,Islam,8303876,0.9988877824720965
2383,2010,Somalia,2687807003.73935,Africa,0.38,1.0,Islam,9283692,0.9989715115809862
2389,1990,Ethiopia,12478943895.1691,Africa,0.286,1.0,Islam,16540480,0.36108246499959396
2390,1995,Ethiopia,7855205206.93405,Africa,0.0,0.0,Islam,19270180,0.3715755281910293
2391,2000,Ethiopia,8242349617.8638,Africa,0.286,1.0,Islam,20608195,0.35057123364676285
2392,2005,Ethiopia,12401139453.9738,Africa,0.0,1.0,Islam,27234000,0.39230916163039503
2393,2010,Ethiopia,29933790334.3418,Africa,0.409,1.0,Islam,28332765,0.3586537313620637
