,year,country,Christianity,Judaism,Islam,Buddhism,Hindu,Shinto,Confus_Tao,code,gdp,un_region,hdi,conflict_present
467,2005,Uruguay,2705243,9918,1000,32,0,0,0,URY,17362857683.8545,Latin America and the Caribbean,0.0,0.0
468,2010,Uruguay,2746709,10070,1015,32,0,0,0,URY,41950361211.9581,Latin America and the Caribbean,0.785,0.0
478,1990,United Kingdom,48498500,310000,1050000,120000,375000,0,11531,GBR,1093169389204.55,Europe,0.804,1.0
479,1995,United Kingdom,48904250,295603,1459221,153245,471355,0,13413,GBR,1349094208616.06,Europe,0.0,0.0
480,2000,United Kingdom,42458524,281207,1828442,186491,567710,0,15296,GBR,1671597821152.97,Europe,0.863,0.0
481,2005,United Kingdom,40989298,272103,2264221,217659,692355,0,19720,GBR,2551361818181.82,Europe,0.0,0.0
482,2010,United Kingdom,38957273,263000,2700000,248827,817000,0,24144,GBR,2496740681057.14,Europe,0.913,0.0
492,1990,Ireland,3335763,1581,7500,0,0,0,0,IRL,49305632408.4929,Europe,0.743,0.0
493,1995,Ireland,3486468,1750,15081,726,2360,0,0,IRL,69139823232.3232,Europe,0.0,0.0
494,2000,Ireland,3529605,1865,19163,466,3767,0,0,IRL,100207610429.909,Europe,0.851,0.0
495,2005,Ireland,3855152,2065,27678,521,4214,0,0,IRL,211876989655.907,Europe,0.0,0.0
496,2010,Ireland,4150307,1984,25700,781,0,0,0,IRL,221732824603.484,Europe,0.908,0.0
511,1990,Netherlands,11346000,26000,533000,48000,80000,0,0,NLD,318799003993.707,Europe,0.847,0.0
513,1995,Netherlands,11215247,25471,626500,102930,84674,0,0,NLD,452967334614.329,Europe,0.0,0.0
515,2000,Netherlands,10625781,24942,780000,157860,95000,0,0,NLD,417649282153.726,Europe,0.892,0.0
517,2005,Netherlands,10570926,25786,897600,194208,105264,0,0,NLD,688133699635.797,Europe,0.0,0.0
519,2010,Netherlands,9626041,25700,963526,201012,107151,0,0,NLD,852464982433.335,Europe,0.917,0.0
539,1990,Belgium,8495449,32100,315000,20000,0,0,0,BEL,205331747947.851,Europe,0.814,0.0
541,1995,Belgium,8222233,32000,403904,21939,0,0,0,BEL,288025588396.278,Europe,0.0,0.0
543,2000,Belgium,7909604,40000,350000,20000,0,0,0,BEL,236792460312.471,Europe,0.884,0.0
545,2005,Belgium,8139550,50000,400000,10000,6500,0,0,BEL,385714762230.039,Europe,0.0,0.0
547,2010,Belgium,7526165,30000,543818,32629,7500,0,0,BEL,481556503720.001,Europe,0.913,0.0
567,1990,Luxembourg,352790,700,3900,0,0,0,0,LUX,12778792853.6939,Europe,0.793,0.0
