hdi_rank,country,hdi_1990,hdi_2000,hdi_2010,hdi_2015,hdi_2019,hdi_2020,hdi_2021,hdi_2022,avg_growth_1990_2022
179.0,Guinea-Bissau,,,0.441,0.47,0.488,0.482,0.482,0.483,
181.0,Guinea,0.27,0.345,0.415,0.449,0.47,0.471,0.467,0.471,1.7540691538823
182.0,Afghanistan,0.284,0.34,0.449,0.479,0.492,0.488,0.473,0.462,1.53221567059385
183.0,Mozambique,0.239,0.303,0.407,0.445,0.465,0.467,0.459,0.461,2.07413763609512
184.0,Sierra Leone,0.314,0.319,0.416,0.438,0.457,0.453,0.456,0.458,1.18659799275886
185.0,Burkina Faso,,0.296,0.372,0.413,0.446,0.446,0.445,0.438,
186.0,Yemen,0.357,0.434,0.496,0.455,0.43,0.43,0.425,0.424,0.53893981320483
187.0,Burundi,0.285,0.298,0.404,0.42,0.423,0.419,0.419,0.42,1.21913892979721
188.0,Mali,0.236,0.315,0.406,0.409,0.421,0.407,0.408,0.41,1.740998473832
189.0,Chad,,0.292,0.364,0.388,0.398,0.396,0.393,0.394,
189.0,Niger,0.212,0.26,0.336,0.367,0.39,0.391,0.389,0.394,1.95564143695774
191.0,Central African Republic,0.333,0.319,0.357,0.367,0.391,0.389,0.387,0.387,0.470736383413439
192.0,South Sudan,,,0.406,0.381,0.391,0.386,0.381,0.381,
193.0,Somalia,,,,,,,,0.38,
,Monaco,,,,,,,,,
